,Missing_Count,Missing_Percent
bene_race_api_cnt,1062540,81.94
bene_race_othr_cnt,1052600,81.17
bene_race_hspnc_cnt,988886,76.26
bene_race_black_cnt,924899,71.32
bene_cc_bh_ptsd_v1_pct,882169,68.03
bene_cc_bh_adhd_othcd_v1_pct,875024,67.48
bene_cc_bh_pd_v1_pct,852076,65.71
bene_race_natind_cnt,848880,65.46
bene_cc_ph_parkinson_v2_pct,804287,62.02
bene_cc_bh_schizo_othpsy_v1_pct,767990,59.22
bene_cc_bh_bipolar_v1_pct,735331,56.71
bene_age_lt_65_cnt,690801,53.27
bene_age_gt_84_cnt,678412,52.32
bene_cc_bh_alcohol_drug_v1_pct,627335,48.38
bene_cc_bh_alz_nonalzdem_v2_pct,559099,43.12
bene_cc_ph_stroke_tia_v2_pct,529707,40.85
bene_cc_bh_tobacco_v1_pct,522349,40.28
bene_cc_ph_asthma_v2_pct,481345,37.12
bene_ndual_cnt,464482,35.82
bene_dual_cnt,464482,35.82
bene_race_wht_cnt,462752,35.69
bene_cc_ph_osteoporosis_v2_pct,384832,29.68
bene_cc_ph_cancer6_v2_pct,382298,29.48
bene_cc_ph_copd_v2_pct,374142,28.85
bene_age_75_84_cnt,368404,28.41
bene_cc_ph_hf_nonihd_v2_pct,366906,28.29
bene_cc_ph_afib_v2_pct,347073,26.77
bene_cc_ph_ckd_v2_pct,276449,21.32
